Date,Rank,Title,Type,Netflix Release Date,Days In Top 10
5/1/2020,2,Dangerous Lies,Movie,30-Apr-20,1
5/1/2020,3,Outer Banks,TV Show,15-Apr-20,16
5/1/2020,4,Extraction,Movie,24-Apr-20,7
5/1/2020,5,Murder to Mercy: The Cyntoi…,Movie,29-Apr-20,2
5/1/2020,6,The Last Kingdom,TV Show,10-Jul-16,5
5/1/2020,7,The Willoughbys,Movie,22-Apr-20,9
5/1/2020,8,Waco,TV Show,16-Apr-20,13
5/1/2020,9,Ozark,TV Show,21-Jul-17,35
5/1/2020,10,Too Hot to Handle,TV Show,17-Apr-20,14
5/2/2020,1,Dangerous Lies,Movie,30-Apr-20,2
5/2/2020,2,Never Have I Ever,TV Show,27-Apr-20,5
5/2/2020,3,Outer Banks,TV Show,15-Apr-20,17
5/2/2020,4,Extraction,Movie,24-Apr-20,8
5/2/2020,5,Murder to Mercy: The Cyntoi…,Movie,29-Apr-20,3
5/2/2020,6,The Last Kingdom,TV Show,10-Jul-16,6
5/2/2020,7,The Willoughbys,Movie,22-Apr-20,10
5/2/2020,8,All Day and a Night,Movie,1-May-20,1
5/2/2020,9,Ozark,TV Show,21-Jul-17,36
5/2/2020,10,Waco,TV Show,16-Apr-20,14
5/3/2020,1,Dangerous Lies,Movie,30-Apr-20,3
5/3/2020,2,Never Have I Ever,TV Show,27-Apr-20,6
5/3/2020,3,Outer Banks,TV Show,15-Apr-20,18
5/3/2020,4,Extraction,Movie,24-Apr-20,9
5/3/2020,5,All Day and a Night,Movie,1-May-20,2
5/3/2020,6,Hollywood,TV Show,1-May-20,1
5/3/2020,7,Den of Thieves,Movie,1-May-20,1
5/3/2020,8,Murder to Mercy: The Cyntoi…,Movie,29-Apr-20,4
5/3/2020,9,The Half of It,Movie,1-May-20,1
5/3/2020,10,The Last Kingdom,TV Show,10-Jul-16,7
5/4/2020,1,Dangerous Lies,Movie,30-Apr-20,4
5/4/2020,2,Outer Banks,TV Show,15-Apr-20,19
5/4/2020,3,Hollywood,TV Show,1-May-20,2
5/4/2020,4,All Day and a Night,Movie,1-May-20,3
5/4/2020,5,Never Have I Ever,TV Show,27-Apr-20,7
5/4/2020,6,Extraction,Movie,24-Apr-20,10
5/4/2020,7,Den of Thieves,Movie,1-May-20,2
5/4/2020,8,Murder to Mercy: The Cyntoi…,Movie,29-Apr-20,5
5/4/2020,9,The Last Kingdom,TV Show,10-Jul-16,8
5/4/2020,10,The Half of It,Movie,1-May-20,2
5/5/2020,1,Outer Banks,TV Show,15-Apr-20,20
5/5/2020,2,Dangerous Lies,Movie,30-Apr-20,5
5/5/2020,3,Hollywood,TV Show,1-May-20,3
5/5/2020,4,Never Have I Ever,TV Show,27-Apr-20,8
5/5/2020,5,All Day and a Night,Movie,1-May-20,4
5/5/2020,6,Den of Thieves,Movie,1-May-20,3
5/5/2020,7,Extraction,Movie,24-Apr-20,11
5/5/2020,8,Arctic Dogs,Movie,4-May-20,1
5/5/2020,9,The Last Kingdom,TV Show,10-Jul-16,9
5/5/2020,10,Murder to Mercy: The Cyntoi…,Movie,29-Apr-20,6
5/6/2020,1,Outer Banks,TV Show,15-Apr-20,21
